Id,Soort,Onderwerp,Datum,Aanvangstijd,Eindtijd,Status,Vergaderjaar,Kamer
1573af00-ec77-4d11-ab11-0000f5f846b5,Inbreng verslag (wetsvoorstel),Wet vrij en veilig onderwijs,2025-09-11T10:00:00+02:00,2025-09-11T10:00:00+02:00,2025-09-11T10:00:00+02:00,Uitgevoerd,2024-2025,Tweede Kamer
b7cf7dfc-1f46-4351-b2a5-000236b07ffa,Procedurevergadering,Procedures en brieven ,2019-11-07T13:30:00+01:00,2019-11-07T13:30:00+01:00,2019-11-07T14:30:00+01:00,Uitgevoerd,2018-2019,Tweede Kamer
4e9a6798-b365-48b1-bf81-0002b17c9820,Plenair debat (debat),Debat over ProRail (derde termijn),2015-11-09T00:00:00+01:00,,,Geannuleerd,2014-2015,Tweede Kamer
ed23ae00-69bc-423b-b10e-0002e034f69f,Stemmingen,Stemmingen,2016-05-31T15:00:00+02:00,2016-05-31T15:00:00+02:00,2016-05-31T23:59:00+02:00,Uitgevoerd,2015-2016,Tweede Kamer
e7fa78c5-bae3-4b85-9c5e-0003e4d13cde,Stemmingen,Aansluitend aan de Regeling van werkzaamheden: STEMMINGEN (over moties ingediend op 27 mei jl. bij het VAO Biotechnologie en kwekersrecht en moties ingediend bij het VAO Milieuraad),2014-06-11T13:55:00+02:00,2014-06-11T13:55:00+02:00,2014-06-11T23:59:00+02:00,Uitgevoerd,2013-2014,Tweede Kamer
aa6c7f7f-3920-47c9-b8f7-00058dbcf7df,Inbreng feitelijke vragen,Wijziging van de begrotingsstaten van van het Ministerie van Defensie voor het jaar 2023 (wijziging samenhangende met de Miljoenennota),2023-09-25T14:00:00+02:00,2023-09-25T14:00:00+02:00,2023-09-25T14:00:00+02:00,Uitgevoerd,2022-2023,Tweede Kamer
a7fd76b6-2919-42a1-af01-00063f72cfdc,Algemeen overleg,Georganiseerde criminaliteit/financieel-economische criminaliteit,2013-05-23T10:00:00+02:00,2013-05-23T10:00:00+02:00,2013-05-23T13:00:00+02:00,Verplaatst,2012-2013,Tweede Kamer
b80fc264-3451-47fa-955e-0008d941deea,Commissiedebat,Raad Buitenlandse Zaken Ontwikkeling van 21 november 2025 (RBZ geannuleerd),2025-11-19T13:00:00+01:00,2025-11-19T13:00:00+01:00,2025-11-19T16:30:00+01:00,Geannuleerd,2024-2025,Tweede Kamer
41d713c4-73ae-4900-aad6-00099284bec2,E-mailprocedure,Voorstel van het lid Van Campen (VVD) om het wetgevingsoverleg Jaarverslag en Slotwet om te zetten in een schriftelijk overleg ,2022-06-16T14:00:00+02:00,2022-06-16T14:00:00+02:00,2022-06-16T14:00:00+02:00,Uitgevoerd,2021-2022,Tweede Kamer
976e0708-2470-4c71-ba95-000a184c8fbe,Inbreng feitelijke vragen,Slotwet van de Koning 2023 (TK 36560-I),2024-05-23T14:00:00+02:00,2024-05-23T14:00:00+02:00,2024-05-23T14:00:00+02:00,Uitgevoerd,2023-2024,Tweede Kamer
518e434b-3183-401a-8671-000de0d58f84,Regeling van werkzaamheden,Regeling van werkzaamheden,2009-10-27T15:00:00+01:00,2009-10-27T15:00:00+01:00,,Uitgevoerd,2009-2010,Tweede Kamer
249e6613-8056-4268-9970-00108e0d9357,Stemmingen,Einde vergadering: Hoofdelijke Stemmingen,2020-07-02T03:40:00+02:00,2020-07-02T03:40:00+02:00,2020-07-02T05:10:00+02:00,Uitgevoerd,2019-2020,Tweede Kamer
96503c36-0af0-42b1-bee4-00110afd3f55,Regeling van werkzaamheden,Aansluitend aan de Stemmingen: Regeling van werkzaamheden,2020-12-03T15:20:00+01:00,2020-12-03T15:20:00+01:00,2020-12-03T15:21:00+01:00,Uitgevoerd,2020-2021,Tweede Kamer
b05fce3d-9658-4887-889c-0011a78a053a,Algemeen overleg,Eerstelijnszorg (tot nader order uitgesteld),2016-02-03T14:00:00+01:00,2016-02-03T14:00:00+01:00,2016-02-03T17:00:00+01:00,Verplaatst,2014-2015,Tweede Kamer
d12f64d4-62b1-4e40-b4d5-0011f2f79a42,Technische briefing,Exportbeperkende maatregelen halfgeleidertechnologie,2024-04-24T14:00:00+02:00,2024-04-24T14:00:00+02:00,2024-04-24T15:00:00+02:00,Uitgevoerd,2023-2024,Tweede Kamer
2e2fe936-6a59-41d3-947c-00130aeb3349,Petitie,Inwerkingtreding Algemene Verordening Gegevensbescherming en ouderlijke toestemmingsvereiste (verplaatst naar 24 oktober 2017),2017-10-10T13:45:00+02:00,2017-10-10T13:45:00+02:00,2017-10-10T14:00:00+02:00,Verplaatst,2017-2018,Tweede Kamer
984d1226-aa76-45a1-b427-00147df676c3,Inbreng feitelijke vragen,Rekenkamerrapport bij de Nationale Verklaring 2016 (vragen aan het kabinet),2016-05-26T14:00:00+02:00,2016-05-26T14:00:00+02:00,2016-05-26T14:00:00+02:00,Uitgevoerd,2015-2016,Tweede Kamer
efc361a9-c2f1-4f56-992f-0014cec8385c,Algemeen overleg,Visserij,2009-03-18T16:45:00+01:00,2009-03-18T16:45:00+01:00,2009-03-18T18:45:00+01:00,Uitgevoerd,2008-2009,Tweede Kamer
fb248fe7-a976-408d-9276-0015d744a632,Plenair debat (tweeminutendebat),VAO Grensoverschrijdende samenwerking (AO d.d. 28/1),2009-02-17T17:30:00+01:00,2009-02-17T17:30:00+01:00,,Uitgevoerd,2008-2009,Tweede Kamer
7b5c350e-5ac9-4e76-969c-00169a725f93,Technische briefing,Inburgering en integratie - wordt tot nader order uitgesteld,2024-02-28T15:45:00+01:00,2024-02-28T15:45:00+01:00,2024-02-28T17:15:00+01:00,Verplaatst,2023-2024,Tweede Kamer
820645a7-e18e-459b-aa69-0016a64c0cca,Technische briefing,Voorbereidingen aangaande scenario's voor Brexit (contingency planning) ,2018-10-10T16:30:00+02:00,2018-10-10T16:30:00+02:00,2018-10-10T18:00:00+02:00,Uitgevoerd,2017-2018,Tweede Kamer
76b50c8a-fb85-420f-ae85-0016cc4fa486,Commissiedebat,Hoofdlijnennotitie herziening Wiv 2017,2024-10-23T13:30:00+02:00,2024-10-23T13:30:00+02:00,2024-10-23T17:30:00+02:00,Uitgevoerd,2023-2024,Tweede Kamer
16ee3e46-504d-4a3f-b357-001787f5821e,Procedurevergadering,Procedurevergadering LVVN,2025-05-21T11:15:00+02:00,2025-05-21T11:15:00+02:00,2025-05-21T12:15:00+02:00,Uitgevoerd,2024-2025,Tweede Kamer
93123cfa-808d-4f53-8bf5-00180d95fbe5,Werkbezoek,Commando Luchtstrijdkrachten,2015-09-25T12:00:00+02:00,2015-09-25T12:00:00+02:00,2015-09-25T17:00:00+02:00,Uitgevoerd,2015-2016,Tweede Kamer
3e745d00-c657-4a9a-a522-00188e021674,Gesprek,Ontvangst delegatie van het parlement uit Nordrhein - Westfalen,2011-09-15T18:30:00+02:00,2011-09-15T18:30:00+02:00,2011-09-15T21:00:00+02:00,Uitgevoerd,2010-2011,Tweede Kamer
