Id,Onderwerp,Aanvangstijd,Eindtijd,Volgorde,Status,Activiteit_Id
526a9c67-cd61-40ae-8ed5-000020506d08,Een horizonbepaling met betrekking tot participatieplaatsen (Wet horizonbepaling participatieplaatsen) (kamerstuk 31 548),,,1,Vrijgegeven,7ff03f08-75fa-46f1-a666-7702aceb6f02
be1723ee-7b93-46ca-9430-000037c896f2,"Uitnodiging Marketing Drenthe, provincie Drenthe en meerdere organisaties voor werkbezoek aan Koloniën van Weldadigheid",,,3,Vrijgegeven,fab1a524-74de-4c2d-a256-ea03d0b78401
b4eacc59-79b1-467a-9732-00003862e383,"Commissiedebat Gehandicaptenbeleid - donderdag 14 september 2023, 14.30 tot 18.30 uur",,,37,Vrijgegeven,5c5a2a37-e7be-4902-8584-44ea351cd040
195e6774-0f71-4f7d-a99b-0001444b5ce5,Brieven regering:,,,2,Vrijgegeven,25b6d99b-494e-4202-a60b-75dac5aff5fc
70bc9d63-4b8c-4552-91c1-00017f24b087,Migratierapportage van het ministerie van Buitenlandse Zaken 2024,,,18,Vrijgegeven,e8903c74-0eee-41d0-808d-17b86cf33138
8e7a41d8-a396-4f4c-b6ac-0001d5773dbf,"Aanbieding speciaal verslag ""Humanitaire hulp van de EU onder beheer op afstand - Potentieel om levens te redden, maar aanpak vertoont tekortkomingen"" van ERK",,,34,Vrijgegeven,ca526809-4051-4bf5-aa8c-8c778b38a241
7765dcb2-8bb6-48ab-b5de-000289190bf2,Rapportages van de Nederlandsche Bank (DNB) en van het Centraal Planbureau (CPB),,,25,Vrijgegeven,a6de428f-3e55-4410-b9b5-53d5a71c5fa6
9c6542bf-c7c9-4a02-bab1-00029658d703,Jaarverslag Ministerie van Justitie en Veiligheid 2024,,,48,Vrijgegeven,a68aef25-327f-467b-bf47-95681360d12b
d21c4e63-b14f-46d7-a7ed-00031d23ad99,Voorstel van het lid Lodders (VVD) tot het samenstellen van een werkgroep informatievoorziening Belastingdienst,,,91,Vrijgegeven,486ae5c4-056a-4540-b927-f6883804a1fc
5c3d3be6-1166-49f7-82b3-0003515c3fda,Reactie op verzoek commissie inzake extra informatie over de ontvangen tweede rapportage project Renovatie Binnenhof,,,17,Vrijgegeven,aaa43565-eed1-4d27-8250-13a27f14cf0b
115505a0-d7dc-44eb-98a4-0003bae237dd,Reactie op verzoek commissie over het rapport ‘Maatschappelijke waarde sectoren’ van CE Delft in opdracht van Natuur & Milieu,,,27,Vrijgegeven,cea85d4b-dfe1-4580-aca6-f368cdc3ae93
316bb9e7-3ef7-4d2c-91e9-00041a4666e9,Het lid Leijten: rappel onbeantwoorde schriftelijke vragen ,,,6,Vrijgegeven,6f431bac-4e4f-44d5-be58-b531526cd57d
edab13a3-5d22-4973-915a-00041f86f917,Reactie op verzoek van de commissie voor V&J om een reactie op twee rapporten inzake prostitutie,,,6,Vrijgegeven,042976b6-4164-4530-b16d-96c198c3da60
05b31225-ed9f-4add-80ff-000424cc6983,Stand van zaken aanpak problemen met sms-diensten,,,19,Vrijgegeven,197259c6-83c0-493b-bba9-cb6c14e16333
69869af3-feac-4c83-af70-00043cb5c3c0,Verzoek aan minister J&V stand van zaken te geven inzake tot het inzetten van tipgelden en beloningsgelden en het modelprotocol informatie delen,,,1,Vrijgegeven,8f81c06f-0266-4d5b-8fbc-90b34f734df4
fbffd48a-5df7-428a-ae18-0004572573eb,Opnieuw aan te houden moties,,,15,Vrijgegeven,6f2a4f90-b825-45b7-aeaf-cff853064a51
7f87dc07-8be7-474f-86a9-00046fb66435,Informatie over het besluit tot wijziging van het Besluit brandstoffen luchtverontreiniging en het Activiteitenbesluit milieubeheer,,,3,Vrijgegeven,40fe6eb6-c03b-4ff5-8974-7e936058a3e7
f703ae5c-6fd1-4ccc-8150-0004c8090f04,Reactie op het eindrapport van de commissie Levelt,,,40,Vrijgegeven,e684b850-2d85-4db6-8005-18474afd3e86
72ddb174-5ad0-4127-bdd7-00051ccf2617,Openstaande verzoeken van de commissie aan bewindspersonen,,,21,Vrijgegeven,b30d8472-442e-4b71-b321-d0765e680079
9789d062-95ba-480b-a1bf-00055cef748e,Nazending bijlage behorende bij brief inzake beschikbaarheid van het afschrift van het energielabel voor huurders,,,73,Vrijgegeven,48bc0cc6-0a19-4bd3-b43a-ece2a7ad0ded
f30526a9-8f38-4476-a2ec-00056db87b9c,Wijziging van de Participatiewet en enkele andere wetten in verband met het verbeteren van de regeling voor loonkostensubsidie en enkele andere wijzigingen (uitvoeren breed offensief),,,8,Vrijgegeven,78b510de-9201-45f6-a33c-cfaf3e66909f
d59da021-5424-4f58-ab72-000570cd232e,Brievenlijst,,,1,Vrijgegeven,fae2d3bc-a3c7-472a-8f47-4f335b0df943
af33b050-9e94-4493-a555-000592d92359,Kennismakingsgesprek met Actal,,,1,Vrijgegeven,32f2c000-c93f-4580-89d6-4a2b675279ce
bef9fca9-e2c7-4a1a-badc-0005b3960051,Ingetrokken amendement,,,4,Vrijgegeven,19e5aad0-2e78-4645-a3ab-91087d3b2d10
244e2ae8-9557-49ba-87ad-0005c7f25bf9,"Plan om racisme en discriminatie in het voetbal tegen te gaan: ""Ons voetbal is van iedereen, Samen zetten we discriminatie buitenspel""",,,2,Vrijgegeven,3394aed5-4315-4a39-9012-c416f5045fbb
07d71dd9-b351-4c1a-8f01-0006183201de,Voorstel bijzondere procedure over het standpunt dat ook voor zachtere pensioenaanspraken de risicovrije rente moet gelden,,,31,Vrijgegeven,e88ab6b5-2db9-4251-b9e6-f0100a1cfde5
6956c420-2e05-46a2-82b3-00062d5e0c73,Appreciatie van de motie van het lid Van Esch over dieren uit illegaal fokbestand onderbrengen bij opvangcentra ,,,25,Vrijgegeven,f4e42377-601a-412b-8e7f-351bfefab7c0
e0d6952c-3387-4f01-9327-00063659cc4a,Slotwet begroting van Jeugd en Gezin 2008,,,1,Vrijgegeven,a4cad34b-c50b-4149-9cde-b32f7f3cc8b5
e4b7007e-fe4c-4599-9f37-00063ab980ec,Gewijzigde vervoerconcessie voor het hoofdrailnet,,,4,Vrijgegeven,83986f8e-195e-4460-8b06-13d0f5423aef
9be1564b-02b0-46f4-9f55-000659b7412a,Reactie van de Mediafederatie naar aanleiding van het rapport van het CBS naar de prijsontwikkeling bij digitale publicaties,,,23,Vrijgegeven,2d6685f1-738e-4771-bd1f-2f7d215925da
c9c57a50-0cbf-4fed-af1e-00068352c9de,Verslag Videoconferentie voor landbouw- en visserijministers van de EU 29 juni 2020,,,3,Vrijgegeven,a8a58c6c-4eb7-4c22-beb7-bf8dca050300
a43990cd-a2dc-43c5-8d69-000686d4230a,Besluit over de toekomst van bovenregionaal sociaalrecreatief gehandicaptenvervoer ,,,2,Vrijgegeven,554666aa-fb43-4ada-b2c9-d2efdcebc046
