group_column,group_value,n,audited_column,missing_count,missing_rate
is_voorzitter,0,19557,Aanvangstijd_y,19557,1.0
is_voorzitter,1,10592,Aanvangstijd_y,10592,1.0
is_voorzitter,0,19557,Eindtijd_y,19557,1.0
is_voorzitter,1,10592,Eindtijd_y,10592,1.0
is_voorzitter,0,19557,log_speech_duration,0,0.0
is_voorzitter,1,10592,log_speech_duration,0,0.0
is_voorzitter,0,19557,log_text_length,0,0.0
is_voorzitter,1,10592,log_text_length,0,0.0
is_voorzitter,0,19557,sentiment_neg,0,0.0
is_voorzitter,1,10592,sentiment_neg,0,0.0
is_voorzitter,0,19557,sentiment_pos,0,0.0
is_voorzitter,1,10592,sentiment_pos,0,0.0
is_voorzitter,0,19557,sentiment_score,0,0.0
is_voorzitter,1,10592,sentiment_score,0,0.0
is_voorzitter,0,19557,speaker_party,6283,0.32126604284910776
is_voorzitter,1,10592,speaker_party,0,0.0
is_voorzitter,0,19557,speaker_party_clean,0,0.0
is_voorzitter,1,10592,speaker_party_clean,0,0.0
is_voorzitter,0,19557,speech_duration_seconds,0,0.0
is_voorzitter,1,10592,speech_duration_seconds,0,0.0
is_voorzitter,0,19557,time_diff,0,0.0
is_voorzitter,1,10592,time_diff,0,0.0
