group_column,group,n,accepted_count,rejected_count,accepted_rate,rejected_rate
speaker_party_clean,PVV,2470,1369,1101,0.554251012145749,0.445748987854251
speaker_party_clean,PvdA,3985,2170,1815,0.5445420326223338,0.45545796737766625
speaker_party_clean,D66,3002,1607,1395,0.5353097934710194,0.4646902065289807
speaker_party_clean,Other,8540,4434,4106,0.5192037470725995,0.48079625292740047
speaker_party_clean,CDA,1799,896,903,0.4980544747081712,0.5019455252918288
speaker_party_clean,GroenLinks,1250,620,630,0.496,0.504
speaker_party_clean,SP,2323,1115,1208,0.4799827808867843,0.5200172191132156
speaker_party_clean,SGP,676,321,355,0.47485207100591714,0.5251479289940828
speaker_party_clean,PvdD,586,276,310,0.4709897610921502,0.5290102389078498
speaker_party_clean,ChristenUnie,514,236,278,0.4591439688715953,0.5408560311284046
speaker_party_clean,VVD,5004,2233,2771,0.4462430055955236,0.5537569944044765
