group_column,group,n,accepted_count,rejected_count,accepted_rate,rejected_rate
year,2024,2137,1394,743,0.6523163313055685,0.34768366869443146
year,2020,2968,1757,1211,0.5919811320754716,0.4080188679245283
year,2018,1359,783,576,0.5761589403973509,0.423841059602649
year,2023,3053,1704,1349,0.5581395348837209,0.4418604651162791
year,2025,2373,1313,1060,0.5533080488832701,0.4466919511167299
year,2019,1706,918,788,0.5381008206330598,0.4618991793669402
year,2021,785,398,387,0.5070063694267516,0.4929936305732484
year,2022,3079,1554,1525,0.5047093212081845,0.49529067879181554
year,2013,2844,1427,1417,0.5017580872011251,0.4982419127988748
year,2016,477,235,242,0.49266247379454925,0.5073375262054507
year,2017,659,289,370,0.4385432473444613,0.5614567526555387
year,2015,1867,809,1058,0.43331547937868237,0.5666845206213176
year,2014,6834,2692,4142,0.3939127889961955,0.6060872110038045
