model_name,group_column,group_value,n,accuracy,balanced_accuracy,f1_macro
Baseline A structural temporal,speaker_party_clean,CDA,342,0.5584795321637427,0.5696081118114552,0.5294106926434541
Baseline A structural temporal,speaker_party_clean,D66,585,0.576068376068376,0.5749069587809845,0.5748745838998546
Baseline A structural temporal,speaker_party_clean,GroenLinks,244,0.5286885245901639,0.5122682844624199,0.4765608968977932
Baseline A structural temporal,speaker_party_clean,Other,1769,0.5449406444318824,0.5447532770306782,0.543960761369317
Baseline A structural temporal,speaker_party_clean,PVV,482,0.549792531120332,0.5379793061472915,0.536034777208508
Baseline A structural temporal,speaker_party_clean,PvdA,803,0.5678704856787049,0.5505831452219714,0.5450083196034022
Baseline A structural temporal,speaker_party_clean,PvdD,118,0.5508474576271186,0.49702380952380953,0.4744096142532986
Baseline A structural temporal,speaker_party_clean,SGP,145,0.5310344827586206,0.5161904761904762,0.4130952380952381
Baseline A structural temporal,speaker_party_clean,SP,473,0.6046511627906976,0.5897373628350423,0.5811681700878377
Baseline A structural temporal,speaker_party_clean,VVD,976,0.6301229508196722,0.5955253810260388,0.5852601717410113
Baseline A structural temporal,time_bin,afternoon,4610,0.5709327548806942,0.5699956979788436,0.5698433212210277
Baseline A structural temporal,time_bin,evening,1041,0.6138328530259366,0.5117908354114713,0.4355942901534279
Baseline A structural temporal,time_bin,morning,379,0.44327176781002636,0.4511780251911831,0.4425110669594618
Baseline A structural temporal,is_voorzitter,0,3911,0.5586806443364868,0.560542620573631,0.5517300504052394
Baseline A structural temporal,is_voorzitter,1,2119,0.5917885795186408,0.5911629800830038,0.5904752286817817
Baseline A structural temporal,sentiment_label,negative,1984,0.561491935483871,0.5335183157169401,0.5019476809612022
Baseline A structural temporal,sentiment_label,positive,4046,0.5746416213544241,0.5719271316033364,0.5719809409125876
Baseline A structural temporal,long_speech_flag,0,4554,0.5656565656565656,0.5655481877517011,0.5626433285790194
Baseline A structural temporal,long_speech_flag,1,1476,0.5846883468834688,0.5863281912188507,0.5846652788329343
Baseline A structural temporal,year,2013,539,0.5194805194805194,0.5,0.3418803418803419
Baseline A structural temporal,year,2014,1317,0.6112376613515565,0.4998432830381223,0.38480851902401997
Baseline A structural temporal,year,2015,417,0.5827338129496403,0.5,0.36818181818181817
Baseline A structural temporal,year,2016,111,0.5315315315315315,0.5,0.34705882352941175
Baseline A structural temporal,year,2017,133,0.5263157894736842,0.5,0.3448275862068966
Baseline A structural temporal,year,2018,285,0.519298245614035,0.4939393939393939,0.49028080573360666
Baseline A structural temporal,year,2019,361,0.5124653739612188,0.4954514721249001,0.3581703572005818
Baseline A structural temporal,year,2020,593,0.5952782462057336,0.5653564683663834,0.5647706422018349
Baseline A structural temporal,year,2021,156,0.5705128205128205,0.5545484508899143,0.5144702002136852
