speaker_party_clean,Economy & Finance,Education,Employment & Labour,Environment & Climate,Governance & Administration,Housing,Infrastructure & Transport,Public Safety & Policing,Social Welfare
CDA,0.08871420550252666,0.057271195957327346,0.03705783267827063,0.14710836608646827,0.44188658057271196,0.0,0.16282987085906794,0.06513194834362718,0.0
ChristenUnie,0.0,0.11293634496919917,0.16632443531827515,0.0,0.37782340862423,0.0,0.34291581108829566,0.0,0.0
D66,0.351006711409396,0.018456375838926176,0.0,0.04395973154362416,0.436241610738255,0.0,0.1348993288590604,0.0,0.015436241610738255
GroenLinks,0.237012987012987,0.044642857142857144,0.06574675324675325,0.0,0.36688311688311687,0.0,0.2483766233766234,0.0,0.037337662337662336
Other,0.13475093984962405,0.03336466165413534,0.03453947368421053,0.04617011278195489,0.4461936090225564,0.012100563909774436,0.25046992481203006,0.026198308270676693,0.016212406015037595
PVV,0.22226753670473084,0.09910277324632953,0.0,0.0,0.4318923327895595,0.0,0.2467373572593801,0.0,0.0
PvdA,0.093196405648267,0.0503209242618742,0.016944801026957636,0.0,0.7163029525032092,0.0,0.11399229781771501,0.009242618741976894,0.0
PvdD,0.20648464163822525,0.0,0.0,0.0,0.773037542662116,0.0,0.020477815699658702,0.0,0.0
SGP,0.0,0.08358662613981763,0.0,0.0,0.547112462006079,0.0,0.3556231003039514,0.013677811550151976,0.0
SP,0.162057044079516,0.06136560069144339,0.028522039757994815,0.0,0.5250648228176318,0.02679343128781331,0.1961970613656007,0.0,0.0
VVD,0.3110125050423558,0.09519967728922953,0.013311819281968536,0.0,0.40298507462686567,0.0,0.14037918515530456,0.0,0.03711173860427592
