speaker_party_clean,Stemmen - aangenomen,Stemmen - verworpen
CDA,0.4980544747081712,0.5019455252918288
ChristenUnie,0.4591439688715953,0.5408560311284046
D66,0.5353097934710194,0.4646902065289807
GroenLinks,0.496,0.504
Other,0.5192037470725995,0.48079625292740047
PVV,0.554251012145749,0.445748987854251
PvdA,0.5445420326223338,0.45545796737766625
PvdD,0.4709897610921502,0.5290102389078498
SGP,0.47485207100591714,0.5251479289940828
SP,0.4799827808867843,0.5200172191132156
VVD,0.4462430055955236,0.5537569944044765
