speaker_party_clean,most_common_category,share
CDA,Stemmen - verworpen,0.5019455252918288
ChristenUnie,Stemmen - verworpen,0.5408560311284046
D66,Stemmen - aangenomen,0.5353097934710194
GroenLinks,Stemmen - verworpen,0.504
Other,Stemmen - aangenomen,0.5192037470725995
PVV,Stemmen - aangenomen,0.554251012145749
PvdA,Stemmen - aangenomen,0.5445420326223338
PvdD,Stemmen - verworpen,0.5290102389078498
SGP,Stemmen - verworpen,0.5251479289940828
SP,Stemmen - verworpen,0.5200172191132156
VVD,Stemmen - verworpen,0.5537569944044765
