speaker_role,most_common_category,share
Lid Tweede Kamer,afternoon,0.6069685620247418
lid Tweede Kamer,afternoon,0.8185564269573309
minister van Binnenlandse Zaken en Koninkrijksrelaties,afternoon,1.0
minister van Buitenlandse Zaken,afternoon,0.96
minister van Defensie,afternoon,1.0
minister van Financiën,afternoon,1.0
minister van Infrastructuur en Milieu,afternoon,1.0
minister van Infrastructuur en Waterstaat,afternoon,0.9186046511627907
minister van Justitie en Veiligheid,afternoon,0.88
"minister van Landbouw, Natuur en Voedselkwaliteit",afternoon,1.0
minister van Sociale Zaken en Werkgelegenheid,morning,0.8987341772151899
"minister van Sociale Zaken en Werkgelegenheid, viceminister-president",afternoon,1.0
minister van Veiligheid en Justitie,afternoon,1.0
"minister van Volksgezondheid, Welzijn en Sport",morning,0.7622950819672131
minister voor Buitenlandse Handel en Ontwikkelingssamenwerking,afternoon,1.0
minister voor Klimaat en Energie,afternoon,1.0
minister voor Rechtsbescherming,afternoon,1.0
"minister-president, minister van Algemene Zaken",afternoon,0.6970588235294117
"staatssecretaris Jeugd, Preventie en Sport",afternoon,1.0
staatssecretaris van Defensie,afternoon,1.0
staatssecretaris van Economische Zaken,afternoon,0.6605316973415133
staatssecretaris van Financiën,afternoon,1.0
staatssecretaris van Infrastructuur en Milieu,afternoon,1.0
staatssecretaris van Infrastructuur en Waterstaat,afternoon,1.0
staatssecretaris van Justitie en Veiligheid,afternoon,1.0
"staatssecretaris van Landbouw, Visserij, Voedselzekerheid en Natuur",morning,1.0
"staatssecretaris van Onderwijs, Cultuur en Wetenschap",afternoon,1.0
staatssecretaris van Veiligheid en Justitie,afternoon,1.0
