speaker_party_clean,count,mean,median,std
Other,8540,4.353467539579773,4.543294782270004,1.0189042949326808
CDA,1799,4.173280175559831,4.700480365792417,0.9763317303234333
ChristenUnie,514,3.667203524267774,4.90527477843843,1.8210628120530408
GroenLinks,1250,3.546175751704144,3.688879454113936,1.4265783386603288
SP,2323,3.4802821162519635,3.784189633918261,1.385836020186284
PVV,2470,3.2836448930850928,2.833213344056216,1.0491029769025368
D66,3002,3.215143793893342,3.1780538303479458,1.211565623023364
PvdA,3985,3.093760749891846,2.833213344056216,1.0395552816702167
SGP,676,3.0870390784402266,3.218875824868201,1.4215593140750846
PvdD,586,2.986678397959928,2.772588722239781,1.1167949312024585
VVD,5004,2.6011757135529194,2.4849066497880004,1.4674485546911398
