speaker_party_clean,count,mean,median,std
ChristenUnie,514,112.8443579766537,134.0,114.01716252464715
Other,8540,111.96276346604215,93.0,80.51374024237205
CDA,1799,89.33240689271818,109.0,52.753857993434075
GroenLinks,1250,66.8,39.0,57.08331107708118
SP,2323,61.99311235471373,43.0,55.06165946992618
PVV,2470,49.490283400809716,16.0,70.76381078266678
D66,3002,44.74716855429713,23.0,45.96197195532664
SGP,676,43.417159763313606,24.0,46.77698644271395
PvdA,3985,37.676286072772896,16.0,45.26865479208783
VVD,5004,36.097322142286174,11.0,53.928068562447365
PvdD,586,35.16894197952218,15.0,39.23094615624987
