speaker_role,count,mean,median,std
"staatssecretaris Jeugd, Preventie en Sport",178,244.17977528089887,214.0,33.88000153341231
minister voor Rechtsbescherming,218,218.0,218.0,0.0
staatssecretaris van Veiligheid en Justitie,298,170.29530201342283,188.0,32.20588300937471
staatssecretaris van Infrastructuur en Waterstaat,154,168.0,168.0,93.30342658104632
"staatssecretaris van Landbouw, Visserij, Voedselzekerheid en Natuur",182,159.0,159.0,0.0
minister van Defensie,53,156.0,156.0,0.0
"minister van Sociale Zaken en Werkgelegenheid, viceminister-president",133,155.22556390977442,185.0,30.11257075198383
minister voor Buitenlandse Handel en Ontwikkelingssamenwerking,259,136.9227799227799,152.0,35.78447844622624
"minister-president, minister van Algemene Zaken",340,131.06470588235294,134.0,91.02812584362876
minister van Justitie en Veiligheid,825,129.59878787878787,97.0,67.1315926124528
staatssecretaris van Justitie en Veiligheid,269,129.3271375464684,101.0,85.33068274379416
"staatssecretaris van Onderwijs, Cultuur en Wetenschap",142,126.13380281690141,123.0,46.673033335697916
minister van Binnenlandse Zaken en Koninkrijksrelaties,286,120.6923076923077,13.0,110.16856180778713
minister van Veiligheid en Justitie,376,116.46542553191489,141.0,53.18249211991767
minister van Infrastructuur en Milieu,171,109.17543859649123,127.0,47.94449835591793
staatssecretaris van Defensie,146,98.0,98.0,0.0
staatssecretaris van Infrastructuur en Milieu,82,92.0,92.0,27.166155414412245
minister van Buitenlandse Zaken,250,90.928,86.0,86.80154866939657
"minister van Volksgezondheid, Welzijn en Sport",488,88.72131147540983,76.0,23.897715748351896
minister van Sociale Zaken en Werkgelegenheid,158,84.34177215189874,81.0,9.987107709760284
minister van Financiën,324,83.40432098765432,53.0,100.25787236912285
staatssecretaris van Financiën,56,83.0,83.0,0.0
minister van Infrastructuur en Waterstaat,86,60.0,60.0,0.0
staatssecretaris van Economische Zaken,489,58.10838445807771,31.0,50.83715675985093
lid Tweede Kamer,15046,55.5401435597501,23.0,64.89815077205019
Lid Tweede Kamer,8811,52.24265123141527,20.0,61.32218853911451
"minister van Landbouw, Natuur en Voedselkwaliteit",62,31.0,31.0,0.0
minister voor Klimaat en Energie,146,14.0,14.0,0.0
