speaker_role,negative,positive
Lid Tweede Kamer,4689,4122
lid Tweede Kamer,3983,11063
minister van Binnenlandse Zaken en Koninkrijksrelaties,0,286
minister van Buitenlandse Zaken,62,188
minister van Defensie,0,53
minister van Financiën,134,190
minister van Infrastructuur en Milieu,135,36
minister van Infrastructuur en Waterstaat,0,86
minister van Justitie en Veiligheid,204,621
"minister van Landbouw, Natuur en Voedselkwaliteit",0,62
minister van Sociale Zaken en Werkgelegenheid,0,158
"minister van Sociale Zaken en Werkgelegenheid, viceminister-president",0,133
minister van Veiligheid en Justitie,0,376
"minister van Volksgezondheid, Welzijn en Sport",0,488
minister voor Buitenlandse Handel en Ontwikkelingssamenwerking,20,239
minister voor Klimaat en Energie,0,146
minister voor Rechtsbescherming,0,218
"minister-president, minister van Algemene Zaken",73,267
"staatssecretaris Jeugd, Preventie en Sport",0,178
staatssecretaris van Defensie,146,0
staatssecretaris van Economische Zaken,428,61
staatssecretaris van Financiën,56,0
staatssecretaris van Infrastructuur en Milieu,41,41
staatssecretaris van Infrastructuur en Waterstaat,77,77
staatssecretaris van Justitie en Veiligheid,0,269
"staatssecretaris van Landbouw, Visserij, Voedselzekerheid en Natuur",0,182
"staatssecretaris van Onderwijs, Cultuur en Wetenschap",0,142
staatssecretaris van Veiligheid en Justitie,46,252
