speaker_party_clean,count,mean,median,std
PvdA,3985,7.237362006609483,8.023879992734878,1.4688559220063329
VVD,5004,6.806345323546558,8.029432840581244,1.6295072271459243
D66,3002,6.512690153485273,7.510977752014095,1.336209148237712
PVV,2470,6.386002473869582,7.351158226430694,1.356406811493602
PvdD,586,5.240644366693107,5.187385805840755,0.49562743984522006
CDA,1799,5.203556126916897,5.247024072160486,0.8361063324558213
SGP,676,5.167306495576469,5.83773044716594,0.708942320745036
Other,8540,5.139950919155741,5.209486152841421,0.6972869391431307
GroenLinks,1250,5.1210482097115415,5.231108616854587,0.7668039627541171
SP,2323,4.971341284820239,5.003946305945459,0.5294455782848324
ChristenUnie,514,4.680836886455061,4.672828834461906,0.7060664172652393
