speaker_party_clean,count,mean,median,std
VVD,5004,0.5002354116706634,0.5456,0.4292163701835591
PvdD,586,0.49482542662116036,0.7819,0.42035680202716064
CDA,1799,0.4835053362979433,0.237,0.4618348466593446
D66,3002,0.3817812791472352,0.0488,0.4167412935471838
SP,2323,0.3735927679724494,0.1218,0.40918250227938646
PVV,2470,0.32069234817813763,0.0953,0.3998118808274478
ChristenUnie,514,0.2735264591439689,0.0006,0.3910539620165999
SGP,676,0.2706050295857988,0.0166,0.3741639325470992
Other,8540,0.26415524590163936,0.0062,0.4149889689738125
GroenLinks,1250,0.25811056,0.0195,0.37196200344940406
PvdA,3985,0.20928521957340027,0.0057,0.3376646704402341
