Id,Agendapunt_Id,StemmingsSoort,BesluitSoort,BesluitTekst,GewijzigdOp
ed3c6106-e8d8-4bea-9de6-0000eb3a6164,696c8066-224f-43ad-a275-367ae54f8aa0,Met handopsteken,Stemmen - aangenomen,Aangenomen.,2015-12-03T19:32:50.84+01:00
d89665d9-ba53-4e71-8d02-0001c83a654c,4b336029-8355-4862-a1a0-dc1f77b12a6c,Met handopsteken,Stemmen - verworpen,Verworpen,2019-10-21T10:17:37.073+02:00
f9c608b8-ed34-4eca-b912-0003203d0668,e26fba08-61da-4daa-bafa-446464b120d7,Met handopsteken,Stemmen - aangenomen,Aangenomen.,2019-10-21T10:17:21.71+02:00
2c02b728-d451-466f-b481-0003e98849f9,ff4781f8-0869-4556-a8a6-552401db5b9c,Met handopsteken,Stemmen - verworpen,Verworpen.,2022-07-07T23:10:48.377+02:00
15fd535a-cc04-4d52-87ae-00064e637e5d,5aab25e0-288e-4f10-a2da-f4d77f47b27f,Met handopsteken,Stemmen - verworpen,Verworpen,2019-10-21T10:17:26.397+02:00
0f33762d-12f9-42d2-94a7-0007309d9862,a866aea1-e2d8-4dd5-8b2b-bf19b768c992,Met handopsteken,Stemmen - verworpen,Verworpen.,2024-01-23T15:45:55.807+01:00
9ed3db18-9a0d-4c9f-8fa9-0008b076a4ff,ab0f3ee2-f267-4933-ba5c-40b1c7edfd38,Met handopsteken,Stemmen - aangenomen,Aangenomen.,2024-03-12T16:09:11.527+01:00
1cefa679-fe5a-45c2-a6d0-0009ee77dabf,2552289d-9148-4604-8a2a-5ea2838bbe29,Met handopsteken,Stemmen - aangenomen,Aangenomen.,2019-10-21T10:17:17.11+02:00
25b52799-aade-46a0-a7d1-000a046614ee,2cd1daf5-fe7d-4947-9edc-f6e4fd7115f4,Met handopsteken,Stemmen - verworpen,Verworpen.,2021-04-30T02:28:07.49+02:00
541fdfe5-fb65-482d-9cb2-000a80b0ee06,c3c39b11-6463-43b7-adf0-4ca8d506440e,Met handopsteken,Stemmen - aangenomen,Aangenomen.,2019-10-21T10:17:41.473+02:00
4ac5def8-d90f-4f42-b5fc-000bb556e8fd,5a38eaab-b7a2-4a18-ba78-38a03c429bf1,Met handopsteken,Stemmen - verworpen,Verworpen.,2023-12-21T21:21:36.643+01:00
00ecbc9c-a5c3-4ec7-b8a8-000d82ed7f9e,04f6e565-ba67-47f9-802d-9e8e53208872,Met handopsteken,Stemmen - aangenomen,Aangenomen.,2025-07-01T16:46:08.153+02:00
2eacd913-0a8e-4bbc-8906-000d8aa9d687,4266a640-d2a2-439f-9ab4-8f1d738f5823,Met handopsteken,Stemmen - verworpen,Verworpen.,2020-12-08T16:48:23.27+01:00
df8e115a-c15e-4f95-b173-000ed59f0a5d,878ac445-c954-4396-b331-197466e4460c,Met handopsteken,Stemmen - aangenomen,Aangenomen.,2023-04-04T16:09:35.487+02:00
22599a55-7b25-4c73-8a54-000ff0714ecc,e7febc43-69c7-45e3-926c-94abe40deb04,Met handopsteken,Stemmen - aangenomen,Aangenomen.,2019-10-21T10:17:23.06+02:00
8a59704b-f764-4352-be7c-0010c92ddd02,1924b33e-509b-43a9-af41-0aa1485d0deb,Met handopsteken,Stemmen - aangenomen,Aangenomen,2019-10-21T10:17:16.453+02:00
4ca39d22-5c01-45cf-9e55-00118a58b9f1,c1136c92-fa9a-417d-a659-57821e8c8260,Met handopsteken,Stemmen - verworpen,Verworpen,2019-10-21T10:17:18.36+02:00
4ba84ead-28c3-4f8a-8f95-001221763cd9,1c257434-ac9c-493c-8282-caf089ffffbc,Met handopsteken,Stemmen - verworpen,Verworpen.,2025-09-30T16:22:34.19+02:00
4d7509d7-3a80-4e47-8f6d-0014c6f0a00a,76cc1a58-0339-47d0-919e-1dc5b1350ee6,Met handopsteken,Stemmen - verworpen,Verworpen.,2022-10-12T13:30:58.787+02:00
dd2dde8a-24d0-4dba-8f58-00171185b322,081794b1-0cdd-4cd5-a7fe-b2ea56aa637e,Met handopsteken,Stemmen - aangenomen,Aangenomen.,2023-07-06T15:56:09.55+02:00
ffbd930e-8497-49ce-b83e-00172d829be6,ec6f311a-d55a-446c-9e98-368d19680ecd,Met handopsteken,Stemmen - aangenomen,Aangenomen.,2021-11-11T15:52:17.93+01:00
65db9db8-3d3a-4960-b0e3-0017337af5b9,fc481746-b544-4477-bf95-e39c708470fd,Met handopsteken,Stemmen - verworpen,Verworpen.,2024-06-27T16:34:16.433+02:00
ac49518e-e0ec-4034-aa7c-0017cf452eb5,de745a7d-8cc0-43dd-9c5f-f6c68d21680b,Met handopsteken,Stemmen - verworpen,Verworpen.,2019-10-21T10:17:13.42+02:00
be11b2e3-11a4-4467-b05a-0018bbd3be4f,fd967bc1-3ade-4d5c-ae00-0b81ee58f019,Met handopsteken,Stemmen - aangenomen,Aangenomen,2019-10-21T10:17:22.42+02:00
9d4f87bd-074a-489e-8c61-0018be5d05c8,935437f5-2313-4e27-be8a-9ff479f280c4,Met handopsteken,Stemmen - verworpen,Verworpen.,2022-07-07T15:29:46.017+02:00
10ed532e-d845-4030-a08c-0018cbf33d9a,41895426-7fae-45bc-b145-63b4dc96ad92,Met handopsteken,Stemmen - aangenomen,Aangenomen.,2021-11-17T16:49:21.047+01:00
05a9952c-4700-488b-a6ae-0019a6385aa0,3d96ec97-72cf-43a6-b9e6-871b895f058f,Met handopsteken,Stemmen - verworpen,Verworpen.,2025-02-04T15:53:00.867+01:00
24a30a9d-9585-451d-925f-001a6b38f0cb,02af366a-efe5-4da3-aeb9-c920d48d6805,Met handopsteken,Stemmen - aangenomen,Aangenomen.,2019-10-21T10:17:17.393+02:00
b7e1c916-6b92-454f-b702-001ab5573a0d,6554539d-782f-4c89-9e50-e742ccac7267,Met handopsteken,Stemmen - aangenomen,Aangenomen.,2020-01-21T16:03:32.627+01:00
631072f5-614c-44b8-91bd-001ad7cc657c,aef3c300-20af-4b72-ae5b-fd6b09b2bcf4,Met handopsteken,Stemmen - verworpen,Verworpen.,2019-10-21T10:17:29.357+02:00
17b92d28-66a2-4653-b22d-001b45d10013,d4587438-6941-4ef2-b32e-e730a6cc792e,Met handopsteken,Stemmen - verworpen,Verworpen.,2021-06-23T10:07:49.087+02:00
f95cfc6e-0ccd-437c-b4f3-001c6388b614,62129712-4fc6-41fc-8df8-3348a15feecf,Met handopsteken,Stemmen - aangenomen,Aangenomen.,2021-06-23T10:28:21.313+02:00
efa12133-c46a-4bb8-a4f5-001c960bc76c,7e8fe7b9-103d-46f8-9ce5-2c0023472fdc,Met handopsteken,Stemmen - verworpen,Verworpen.,2021-12-02T16:37:48.283+01:00
a1c5a736-2311-49b9-9a6b-001d1eaf0e39,9970be65-20d7-46df-be5f-e5656052f76d,Met handopsteken,Stemmen - verworpen,Verworpen.,2022-12-13T16:05:36.673+01:00
d6d569d6-3af3-4b2b-9134-001e7773258b,e35b1db6-c520-47a7-8554-aadc05604fa3,Met handopsteken,Stemmen - aangenomen,Aangenomen.,2025-02-11T15:51:38.067+01:00
ae7737c9-4ecf-4d3d-8c18-001e87ee9ad0,d1c7e352-cf7d-4c99-8506-683a3d974682,Met handopsteken,Stemmen - aangenomen,Aangenomen.,2017-04-11T15:18:01.993+02:00
