Id,Topic,Topic_category,Decision,Activiteit_Id,Meeting_type,Topic_duration,Topic_duration_minutes,Topic_date,Season,Topic_density_per_day,Time_of_day_time,Time_of_day_category
bef9fca9-e2c7-4a1a-badc-0005b3960051,Ingetrokken amendement,Governance & Administration,Rejected,19e5aad0-2e78-4645-a3ab-91087d3b2d10,Commissie,0 days 10:20:00,620.0,2018-11-22,Autumn,43.0,10:45:00,Late morning
c295ac85-a764-453e-a3db-002151e8f946,Moties ingediend bij Vaststelling van de begrotingsstaten van het Ministerie van Economische Zaken (XIII) voor het jaar 2014 ,Governance & Administration,Rejected,978d15c6-81d4-4d85-b544-a0043c1fbbfc,Commissie,0 days 08:44:00,524.0,2014-01-28,Winter,19.0,14:15:00,Early afternoon
1ed48294-fd14-4f85-bca7-0030a3653139,Moties ingediend bij het VSO Ontwerpbesluit grootschalige uitrol slimme meters,Governance & Administration,Accepted,61de1e1c-6136-4f7a-a4f6-03e91979dc86,Commissie,0 days 08:44:00,524.0,2014-06-03,Summer,16.0,13:15:00,Early afternoon
de378c8f-2513-4a96-844f-00372d1cc718,moties ingediend bij het tweeminutendebat Zoönosen en dierziekten,Governance & Administration,Accepted,78708110-1ddd-48dd-a708-d60537f376f2,Plenair,0 days 00:50:00,50.0,2022-03-22,Spring,27.0,14:10:00,Early afternoon
cc7649b8-9643-4f4f-92e4-003e674d00b0,Moties ingediend bij Wijziging van de Wet educatie en beroepsonderwijs BES,Governance & Administration,Rejected,c153109b-69fa-42f1-be25-e15b49a52331,Plenair,0 days 00:30:00,30.0,2022-05-31,Spring,24.0,13:00:00,Early afternoon
604af8fa-2f14-406e-a27b-00470237d7c9,Aangehouden motie ingediend bij de Wijziging van de Klimaatwet,Governance & Administration,Accepted,dc6bcbdd-7b22-4183-b726-a277eff2e55d,Plenair,0 days 00:40:00,40.0,2023-02-21,Winter,24.0,14:00:00,Early afternoon
e881d662-5a7c-4a94-a333-0050d68bf1c5,Moties ingediend bij het VAO Herijking Ouderschap,Governance & Administration,Accepted,53075ae7-19e9-4401-8f0e-da1f642be373,Plenair,0 days 01:00:00,60.0,2019-12-17,Winter,15.0,14:00:00,Early afternoon
3e57fe73-ba44-49ae-b248-0053ccdf0042,Aangehouden motie ingediend bij het tweeminutendebat Luchtvaart,Governance & Administration,Rejected,25e223df-96a3-4f8f-8d4b-36952ac62308,Plenair,0 days 01:00:00,60.0,2023-10-17,Autumn,18.0,13:00:00,Early afternoon
8411c30c-63ab-4ba8-b09a-00595b723f45,Wijziging van de Wet regulering prostitutie en bestrijding misstanden seksbranche,Governance & Administration,Rejected,cf57663b-3a25-49ea-9863-2a16ca9870d4,Commissie,0 days 08:54:00,534.0,2016-06-21,Summer,25.0,13:05:00,Early afternoon
71807082-505b-4526-91ef-00680cf87be4,Moties ingediend bij het dertigledendebat over de recent door het Nibud gepubliceerde cijfers over de koopkrachtontwikkeling,Infrastructure & Transport,Rejected,00ef4f67-d274-4453-b9c3-2791eb281ad6,Commissie,0 days 08:44:00,524.0,2013-02-05,Winter,19.0,14:15:00,Early afternoon
233dd920-6690-48ac-b036-00698a052035,Moties ingediend bij het VAO Biotechnologie en kwekersrecht,Governance & Administration,Accepted,e7fa78c5-bae3-4b85-9c5e-0003e4d13cde,Commissie,0 days 10:04:00,604.0,2014-06-11,Summer,38.0,11:55:00,Late morning
