group_column,group_value,n,audited_column,missing_count,missing_rate
sentiment_label,negative,10114,Aanvangstijd_y,10114,1.0
sentiment_label,positive,20035,Aanvangstijd_y,20035,1.0
sentiment_label,negative,10114,Eindtijd_y,10114,1.0
sentiment_label,positive,20035,Eindtijd_y,20035,1.0
sentiment_label,negative,10114,log_speech_duration,0,0.0
sentiment_label,positive,20035,log_speech_duration,0,0.0
sentiment_label,negative,10114,log_text_length,0,0.0
sentiment_label,positive,20035,log_text_length,0,0.0
sentiment_label,negative,10114,sentiment_neg,0,0.0
sentiment_label,positive,20035,sentiment_neg,0,0.0
sentiment_label,negative,10114,sentiment_pos,0,0.0
sentiment_label,positive,20035,sentiment_pos,0,0.0
sentiment_label,negative,10114,sentiment_score,0,0.0
sentiment_label,positive,20035,sentiment_score,0,0.0
sentiment_label,positive,20035,speaker_party,4841,0.24162715248315447
sentiment_label,negative,10114,speaker_party,1442,0.14257464900138422
sentiment_label,negative,10114,speaker_party_clean,0,0.0
sentiment_label,positive,20035,speaker_party_clean,0,0.0
sentiment_label,negative,10114,speech_duration_seconds,0,0.0
sentiment_label,positive,20035,speech_duration_seconds,0,0.0
sentiment_label,negative,10114,time_diff,0,0.0
sentiment_label,positive,20035,time_diff,0,0.0
