group_column,group_value,n,audited_column,missing_count,missing_rate
year,2013,2844,Aanvangstijd_y,2844,1.0
year,2014,6834,Aanvangstijd_y,6834,1.0
year,2015,1867,Aanvangstijd_y,1867,1.0
year,2016,477,Aanvangstijd_y,477,1.0
year,2017,659,Aanvangstijd_y,659,1.0
year,2018,1359,Aanvangstijd_y,1359,1.0
year,2019,1706,Aanvangstijd_y,1706,1.0
year,2020,2968,Aanvangstijd_y,2968,1.0
year,2021,785,Aanvangstijd_y,785,1.0
year,2022,3079,Aanvangstijd_y,3079,1.0
year,2023,3053,Aanvangstijd_y,3053,1.0
year,2024,2137,Aanvangstijd_y,2137,1.0
year,2025,2373,Aanvangstijd_y,2373,1.0
year,2026,8,Aanvangstijd_y,8,1.0
year,2013,2844,Eindtijd_y,2844,1.0
year,2014,6834,Eindtijd_y,6834,1.0
year,2015,1867,Eindtijd_y,1867,1.0
year,2016,477,Eindtijd_y,477,1.0
year,2017,659,Eindtijd_y,659,1.0
year,2018,1359,Eindtijd_y,1359,1.0
year,2019,1706,Eindtijd_y,1706,1.0
year,2020,2968,Eindtijd_y,2968,1.0
year,2021,785,Eindtijd_y,785,1.0
year,2022,3079,Eindtijd_y,3079,1.0
year,2023,3053,Eindtijd_y,3053,1.0
year,2024,2137,Eindtijd_y,2137,1.0
year,2025,2373,Eindtijd_y,2373,1.0
year,2026,8,Eindtijd_y,8,1.0
year,2013,2844,log_speech_duration,0,0.0
year,2014,6834,log_speech_duration,0,0.0
year,2015,1867,log_speech_duration,0,0.0
year,2016,477,log_speech_duration,0,0.0
year,2017,659,log_speech_duration,0,0.0
year,2018,1359,log_speech_duration,0,0.0
year,2019,1706,log_speech_duration,0,0.0
year,2020,2968,log_speech_duration,0,0.0
year,2021,785,log_speech_duration,0,0.0
year,2022,3079,log_speech_duration,0,0.0
year,2023,3053,log_speech_duration,0,0.0
year,2024,2137,log_speech_duration,0,0.0
year,2025,2373,log_speech_duration,0,0.0
year,2026,8,log_speech_duration,0,0.0
year,2013,2844,log_text_length,0,0.0
year,2014,6834,log_text_length,0,0.0
year,2015,1867,log_text_length,0,0.0
year,2016,477,log_text_length,0,0.0
year,2017,659,log_text_length,0,0.0
year,2018,1359,log_text_length,0,0.0
year,2019,1706,log_text_length,0,0.0
year,2020,2968,log_text_length,0,0.0
year,2021,785,log_text_length,0,0.0
year,2022,3079,log_text_length,0,0.0
year,2023,3053,log_text_length,0,0.0
year,2024,2137,log_text_length,0,0.0
year,2025,2373,log_text_length,0,0.0
year,2026,8,log_text_length,0,0.0
year,2013,2844,sentiment_neg,0,0.0
year,2014,6834,sentiment_neg,0,0.0
year,2015,1867,sentiment_neg,0,0.0
year,2016,477,sentiment_neg,0,0.0
year,2017,659,sentiment_neg,0,0.0
year,2018,1359,sentiment_neg,0,0.0
year,2019,1706,sentiment_neg,0,0.0
year,2020,2968,sentiment_neg,0,0.0
year,2021,785,sentiment_neg,0,0.0
year,2022,3079,sentiment_neg,0,0.0
year,2023,3053,sentiment_neg,0,0.0
year,2024,2137,sentiment_neg,0,0.0
year,2025,2373,sentiment_neg,0,0.0
year,2026,8,sentiment_neg,0,0.0
year,2013,2844,sentiment_pos,0,0.0
year,2014,6834,sentiment_pos,0,0.0
year,2015,1867,sentiment_pos,0,0.0
year,2016,477,sentiment_pos,0,0.0
year,2017,659,sentiment_pos,0,0.0
year,2018,1359,sentiment_pos,0,0.0
year,2019,1706,sentiment_pos,0,0.0
year,2020,2968,sentiment_pos,0,0.0
year,2021,785,sentiment_pos,0,0.0
year,2022,3079,sentiment_pos,0,0.0
year,2023,3053,sentiment_pos,0,0.0
year,2024,2137,sentiment_pos,0,0.0
year,2025,2373,sentiment_pos,0,0.0
year,2026,8,sentiment_pos,0,0.0
year,2013,2844,sentiment_score,0,0.0
year,2014,6834,sentiment_score,0,0.0
year,2015,1867,sentiment_score,0,0.0
year,2016,477,sentiment_score,0,0.0
year,2017,659,sentiment_score,0,0.0
