column,missing_count,missing_rate,dtype
Aanvangstijd_y,30149,1.0,float64
Eindtijd_y,30149,1.0,float64
speaker_party,6283,0.20839828850044778,str
Aanvangstijd_x,0,0.0,str
Datum,0,0.0,str
Eindtijd_x,0,0.0,str
Kamer,0,0.0,str
Onderwerp,0,0.0,str
Soort,0,0.0,str
Status,0,0.0,str
Vergaderjaar,0,0.0,str
activiteit_id,0,0.0,str
activiteit_onderwerp,0,0.0,str
activiteit_soort,0,0.0,str
activiteit_titel,0,0.0,str
agendapunt_id,0,0.0,str
approx_tokens,0,0.0,int64
date,0,0.0,str
day_of_week,0,0.0,int64
dow_cos,0,0.0,float64
dow_sin,0,0.0,float64
duration_x_evening,0,0.0,float64
hour,0,0.0,int64
hour_cos,0,0.0,float64
hour_sin,0,0.0,float64
is_early_afternoon,0,0.0,int64
is_evening,0,0.0,int64
is_late_afternoon,0,0.0,int64
is_morning,0,0.0,int64
is_night,0,0.0,int64
is_voorzitter,0,0.0,int64
is_weekend,0,0.0,int64
label,0,0.0,int64
log_speaker_freq,0,0.0,float64
log_speech_duration,0,0.0,float64
log_text_length,0,0.0,float64
long_speech_flag,0,0.0,int64
matched_activiteit_id,0,0.0,str
month,0,0.0,int64
month_cos,0,0.0,float64
month_sin,0,0.0,float64
motion_id,0,0.0,str
motion_outcome_raw,0,0.0,str
n_chunks,0,0.0,int64
party_CDA,0,0.0,bool
party_ChristenUnie,0,0.0,bool
party_D66,0,0.0,bool
party_GroenLinks,0,0.0,bool
party_Other,0,0.0,bool
party_PVV,0,0.0,bool
party_PvdA,0,0.0,bool
party_PvdD,0,0.0,bool
party_SGP,0,0.0,bool
party_SP,0,0.0,bool
party_VVD,0,0.0,bool
sentiment_label,0,0.0,str
sentiment_neg,0,0.0,float64
sentiment_pos,0,0.0,float64
sentiment_score,0,0.0,float64
source,0,0.0,str
speaker_freq,0,0.0,int64
speaker_id,0,0.0,str
speaker_name,0,0.0,str
speaker_party_clean,0,0.0,str
speaker_role,0,0.0,str
speech_begin,0,0.0,str
speech_duration_seconds,0,0.0,float64
speech_end,0,0.0,str
speech_id,0,0.0,str
speech_text,0,0.0,str
speech_text_clean,0,0.0,str
split,0,0.0,str
text_chars,0,0.0,int64
time_bin,0,0.0,str
time_bin_ordinal,0,0.0,int64
time_diff,0,0.0,float64
vergadering_datum,0,0.0,str
vergadering_id,0,0.0,str
vergadering_titel,0,0.0,str
voorzitter_x_evening,0,0.0,int64
voorzitter_x_night,0,0.0,int64
year,0,0.0,int64
years_since_2010,0,0.0,int64
