speaker_party_clean,Commissie,Plenair
CDA,0.6238068500842223,0.3761931499157777
ChristenUnie,0.3942505133470226,0.6057494866529775
D66,0.20341823056300268,0.7965817694369973
GroenLinks,0.2597402597402597,0.7402597402597403
Other,0.30216165413533835,0.6978383458646616
PVV,0.18923327895595432,0.8107667210440457
PvdA,0.1951219512195122,0.8048780487804879
PvdD,0.7610921501706485,0.23890784982935154
SGP,0.6306990881458967,0.36930091185410335
SP,0.6352636127917026,0.3647363872082973
VVD,0.7268518518518519,0.27314814814814814
