speaker_party_clean,Early afternoon,Evening,Late afternoon,Late morning,Night
CDA,0.7434025828186412,0.10218978102189781,0.154407636159461,0.0,0.0
ChristenUnie,0.5092402464065708,0.08624229979466119,0.40451745379876797,0.0,0.0
D66,0.9584450402144772,0.010723860589812333,0.030831099195710455,0.0,0.0
GroenLinks,0.6534090909090909,0.025974025974025976,0.16964285714285715,0.15097402597402598,0.0
Other,0.7354323308270677,0.03512687969924812,0.08975563909774437,0.12805451127819548,0.011630639097744361
PVV,0.7369494290375204,0.015089722675367047,0.07504078303425775,0.1729200652528548,0.0
PvdA,0.8189987163029525,0.093196405648267,0.08780487804878048,0.0,0.0
PvdD,0.36860068259385664,0.23037542662116042,0.40102389078498296,0.0,0.0
SGP,0.2629179331306991,0.015197568389057751,0.7203647416413373,0.001519756838905775,0.0
SP,0.7139152981849611,0.05229040622299049,0.2337942955920484,0.0,0.0
VVD,0.4937600644122383,0.2614734299516908,0.15821256038647344,0.06662640901771337,0.019927536231884056
