speaker_party_clean,Economy & Finance,Education,Employment & Labour,Environment & Climate,Governance & Administration,Housing,Infrastructure & Transport,Public Safety & Policing,Social Welfare
CDA,158,102,66,262,787,0,290,116,0
ChristenUnie,0,55,81,0,184,0,167,0,0
D66,1046,55,0,131,1300,0,402,0,46
GroenLinks,292,55,81,0,452,0,306,0,46
Other,1147,284,294,393,3798,103,2132,223,138
PVV,545,243,0,0,1059,0,605,0,0
PvdA,363,196,66,0,2790,0,444,36,0
PvdD,121,0,0,0,453,0,12,0,0
SGP,0,55,0,0,360,0,234,9,0
SP,375,142,66,0,1215,62,454,0,0
VVD,1542,472,66,0,1998,0,696,0,184
