speaker_role,afternoon,evening,morning
Lid Tweede Kamer,5348,3463,0
lid Tweede Kamer,12316,1433,1297
minister van Binnenlandse Zaken en Koninkrijksrelaties,286,0,0
minister van Buitenlandse Zaken,240,10,0
minister van Defensie,53,0,0
minister van Financiën,324,0,0
minister van Infrastructuur en Milieu,171,0,0
minister van Infrastructuur en Waterstaat,79,0,7
minister van Justitie en Veiligheid,726,99,0
"minister van Landbouw, Natuur en Voedselkwaliteit",62,0,0
minister van Sociale Zaken en Werkgelegenheid,16,0,142
"minister van Sociale Zaken en Werkgelegenheid, viceminister-president",133,0,0
minister van Veiligheid en Justitie,376,0,0
"minister van Volksgezondheid, Welzijn en Sport",116,0,372
minister voor Buitenlandse Handel en Ontwikkelingssamenwerking,259,0,0
minister voor Klimaat en Energie,146,0,0
minister voor Rechtsbescherming,218,0,0
"minister-president, minister van Algemene Zaken",237,103,0
"staatssecretaris Jeugd, Preventie en Sport",178,0,0
staatssecretaris van Defensie,146,0,0
staatssecretaris van Economische Zaken,323,166,0
staatssecretaris van Financiën,56,0,0
staatssecretaris van Infrastructuur en Milieu,82,0,0
staatssecretaris van Infrastructuur en Waterstaat,154,0,0
staatssecretaris van Justitie en Veiligheid,269,0,0
"staatssecretaris van Landbouw, Visserij, Voedselzekerheid en Natuur",0,0,182
"staatssecretaris van Onderwijs, Cultuur en Wetenschap",142,0,0
staatssecretaris van Veiligheid en Justitie,298,0,0
