speaker_party_clean,most_common_category,share
CDA,Governance & Administration,0.44188658057271196
ChristenUnie,Governance & Administration,0.37782340862423
D66,Governance & Administration,0.436241610738255
GroenLinks,Governance & Administration,0.36688311688311687
Other,Governance & Administration,0.4461936090225564
PVV,Governance & Administration,0.4318923327895595
PvdA,Governance & Administration,0.7163029525032092
PvdD,Governance & Administration,0.773037542662116
SGP,Governance & Administration,0.547112462006079
SP,Governance & Administration,0.5250648228176318
VVD,Governance & Administration,0.40298507462686567
