speaker_party_clean,count,mean,median,std
PvdA,3985,0.7907147804265997,0.9943,0.33766467044023407
GroenLinks,1250,0.74188944,0.9805,0.37196200344940394
Other,8540,0.7358447540983607,0.9938,0.41498896897381254
SGP,676,0.7293949704142012,0.9834,0.37416393254709895
ChristenUnie,514,0.7264735408560311,0.9994,0.39105396201659987
PVV,2470,0.6793076518218624,0.9047,0.3998118808274483
SP,2323,0.6264072320275506,0.8782,0.4091825022793864
D66,3002,0.6182187208527647,0.9512,0.4167412935471838
CDA,1799,0.5164946637020567,0.763,0.4618348466593446
PvdD,586,0.5051745733788396,0.2181,0.42035680202716064
VVD,5004,0.49976458832933657,0.4544,0.4292163701835592
