speaker_party_clean,count,mean,median,std
PvdA,3985,0.581447252195734,0.9887,0.6753314327642543
GroenLinks,1250,0.4837776,0.9609,0.743910582060453
Other,8540,0.4716923536299766,0.9877,0.8299777785690737
SGP,676,0.4587823964497042,0.9668,0.7483303752879107
ChristenUnie,514,0.452922373540856,0.9988,0.7821174489815276
PVV,2470,0.3586034817813765,0.8094,0.7996436646438496
SP,2323,0.2527951356005166,0.7565,0.8183602743727347
D66,3002,0.2364396402398401,0.9023,0.8334701541796795
CDA,1799,0.03298660366870483,0.526,0.9236687884098431
PvdD,586,0.010283959044368624,-0.5639,0.8407449830833695
VVD,5004,-0.00046001199040767923,-0.0912,0.8584213770621753
