speaker_party_clean,count,mean,median,std
PvdA,3985,2369.7846925972394,3052.0,1235.252100310642
VVD,5004,1951.0511590727417,3069.0,1410.71545370633
D66,3002,1181.838107928048,1827.0,807.013110418095
PVV,2470,1037.6688259109312,1557.0,681.3094595169028
CDA,1799,250.57420789327404,189.0,197.53798840979104
SGP,676,217.96153846153845,342.0,126.84563380272425
GroenLinks,1250,207.644,186.0,110.10182556885628
Other,8540,206.7384074941452,182.0,117.95261046808716
PvdD,586,204.06143344709898,178.0,65.24166499989722
SP,2323,163.56478691347397,148.0,85.6821113365424
ChristenUnie,514,127.97665369649805,106.0,63.40042183594172
