speaker_party_clean,n_speeches,n_unique_speakers,n_unique_motions,mean_speech_duration,median_speech_duration,total_speech_duration,mean_log_speech_duration,mean_speaker_freq,mean_log_speaker_freq,mean_sentiment_score,mean_sentiment_pos,mean_sentiment_neg,share_negative_sentiment,share_positive_sentiment,share_chair_speeches,share_long_speeches,share_morning,share_afternoon,share_evening,accepted_rate,dominant_topic_category,dominant_meeting_type,dominant_time_category,topic_share_governance_and_administration,topic_share_infrastructure_and_transport,topic_share_environment_and_climate,topic_share_economy_and_finance,topic_share_public_safety_and_policing,topic_share_education,topic_share_employment_and_labour,topic_share_social_welfare,topic_share_healthcare,topic_share_housing
Other,8540,79,4646,111.96276346604215,93.0,956162.0,4.353467539579773,206.7384074941452,5.13995091915574,0.4716923536299766,0.7358447540983607,0.26415524590163936,0.25936768149882905,0.740632318501171,0.030327868852459017,0.40421545667447306,0.12763466042154567,0.7955503512880562,0.07681498829039812,0.5192037470725995,Governance & Administration,Plenair,Early afternoon,0.4461936090225564,0.25046992481203006,0.04617011278195489,0.13475093984962405,0.026198308270676693,0.03336466165413534,0.03453947368421053,0.016212406015037595,,0.012100563909774436
VVD,5004,26,2006,36.097322142286174,11.0,180631.0,2.6011757135529194,1951.0511590727417,6.806345323546558,-0.0004600119904076887,0.49976458832933646,0.5002354116706634,0.5029976019184652,0.4970023980815348,0.7190247801758594,0.15487609912070344,0.06434852118305355,0.5015987210231815,0.434052757793765,0.4462430055955236,Governance & Administration,Commissie,Early afternoon,0.40217391304347827,0.14009661835748793,,0.3103864734299517,,0.09500805152979067,0.013285024154589372,0.037037037037037035,0.002012882447665056,
PvdA,3985,15,1882,37.676286072772896,16.0,150140.0,3.0937607498918465,2369.7846925972394,7.237362006609481,0.5814472521957339,0.7907147804265998,0.20928521957340027,0.20903387703889587,0.7909661229611041,0.7493099121706399,0.04291091593475533,0.0,0.9089084065244668,0.09109159347553325,0.5445420326223338,Governance & Administration,Plenair,Early afternoon,0.7163029525032092,0.11399229781771501,,0.093196405648267,0.009242618741976894,0.0503209242618742,0.016944801026957636,,,
D66,3002,14,1557,44.74716855429713,23.0,134331.0,3.215143793893342,1181.838107928048,6.5126901534852735,0.23643964023984018,0.6182187208527649,0.38178127914723514,0.3514323784143904,0.6485676215856095,0.6082611592271818,0.17421718854097268,0.0,0.9586942038640907,0.041305796135909394,0.5353097934710194,Governance & Administration,Plenair,Early afternoon,0.435656836461126,0.13471849865951743,0.04390080428954424,0.35053619302949063,,0.018431635388739945,,0.015415549597855228,0.0013404825737265416,
PVV,2470,12,1484,49.490283400809716,16.0,122241.0,3.2836448930850928,1037.6688259109312,6.386002473869582,0.3586034817813766,0.6793076518218624,0.32069234817813763,0.2854251012145749,0.7145748987854251,0.5777327935222673,0.19878542510121458,0.17165991902834007,0.7388663967611336,0.08947368421052632,0.554251012145749,Governance & Administration,Plenair,Early afternoon,0.4318923327895595,0.2467373572593801,,0.22226753670473084,,0.09910277324632953,,,,
SP,2323,19,1674,61.99311235471373,43.0,144010.0,3.4802821162519635,163.56478691347397,4.971341284820239,0.25279513560051653,0.6264072320275504,0.3735927679724494,0.38011192423590184,0.6198880757640981,0.07920792079207921,0.26732673267326734,0.0,0.7653895824365046,0.2346104175634955,0.4799827808867843,Governance & Administration,Commissie,Early afternoon,0.5250648228176318,0.1961970613656007,,0.162057044079516,,0.06136560069144339,0.028522039757994815,,,0.02679343128781331
CDA,1799,17,1514,89.33240689271818,109.0,160709.0,4.173280175559831,250.57420789327404,5.203556126916898,0.03298660366870485,0.5164946637020568,0.48350533629794323,0.4974986103390773,0.5025013896609227,0.0,0.49583101723179546,0.0,0.8988326848249028,0.10116731517509728,0.4980544747081712,Governance & Administration,Commissie,Early afternoon,0.44188658057271196,0.16282987085906794,0.14710836608646827,0.08871420550252666,0.06513194834362718,0.057271195957327346,0.03705783267827063,,,
GroenLinks,1250,12,975,66.8,39.0,83500.0,3.546175751704145,207.644,5.1210482097115415,0.4837776000000001,0.7418894400000001,0.25811056,0.3,0.7,0.1168,0.1736,0.1488,0.6784,0.1728,0.496,Governance & Administration,Plenair,Early afternoon,0.36688311688311687,0.2483766233766234,,0.237012987012987,,0.044642857142857144,0.06574675324675325,0.037337662337662336,,
SGP,676,4,561,43.417159763313606,24.0,29350.0,3.0870390784402266,217.96153846153845,5.167306495576469,0.4587823964497042,0.7293949704142011,0.27060502958579885,0.2943786982248521,0.7056213017751479,0.2455621301775148,0.13609467455621302,0.0014792899408284023,0.46597633136094674,0.5325443786982249,0.47485207100591714,Governance & Administration,Commissie,Late afternoon,0.547112462006079,0.3556231003039514,,,0.013677811550151976,0.08358662613981763,,,,
PvdD,586,3,586,35.16894197952218,15.0,20609.0,2.9866783979599276,204.06143344709898,5.240644366693106,0.010283959044368665,0.5051745733788396,0.49482542662116047,0.5341296928327645,0.4658703071672355,0.0,0.023890784982935155,0.0,0.4863481228668942,0.5136518771331058,0.4709897610921502,Governance & Administration,Commissie,Late afternoon,0.773037542662116,0.020477815699658702,,0.20648464163822525,,,,,,
ChristenUnie,514,6,482,112.8443579766537,134.0,58002.0,3.667203524267774,127.97665369649805,4.680836886455061,0.452922373540856,0.7264735408560312,0.2735264591439689,0.24124513618677043,0.7587548638132295,0.0,0.311284046692607,0.0,0.7392996108949417,0.2607003891050584,0.4591439688715953,Governance & Administration,Plenair,Early afternoon,0.37782340862423,0.34291581108829566,,,,0.11293634496919917,0.16632443531827515,,,
